Cuenta;Nombre;Naturaleza;Cta Mayor;Cta Activa;Nivel;Tercero;Auxiliar;C. Costo
;;;;;;;;
1;ACTIVO                                  ;D;              ;S;0;S;N;N
11;DISPONIBLE                              ;D;1;S;1;S;N;N
1105;CAJA                                    ;D;11;S;2;S;N;N
110504;CAJA C-10                               ;D;1105;S;3;N;S;N
110505;CAJA GENERAL                            ;D;1105;S;3;S;S;N
110506;CAJA CREACION EMPRESA                   ;D;1105;S;3;N;S;N
110510;CAJAS MENOR                             ;D;1105;S;3;N;S;N
1110;BANCOS                                  ;D;11;S;2;S;N;N
111001;NACIONALES                              ;D;1110;S;0;S;N;N
11100101;BANCOLOMBIA CTA CTE                     ;D;111001;S;0;S;S;N
111005;MONEDA NACIONAL                         ;D;1110;S;3;S;N;N
1120;CUENTAS DE AHORROS                      ;D;11;S;2;S;N;N
112005;BANCOS                                  ;D;1120;S;3;S;N;N
11200502;DAVIVIENDA CTA AH. 108900116279         ;D;112005;S;4;S;S;N
11200503;FIDUCIARIA SUPERIOR 6024                ;D;112005;S;4;S;S;N
112010;CORPORACIONES DE AHORRO Y VIVIENDA      ;D;1120;S;3;S;N;N
12;INVERSIONES                             ;D;1;S;1;S;N;N
1205;ACCIONES                                ;D;12;S;2;S;N;N
1220;CEDULAS                                 ;D;12;S;0;S;N;N
1225;CERTIFICADOS                            ;D;12;S;2;S;N;N
122505;CERTIFICADOS DE DEPOSITO A TERMINO      ;D;1225;S;3;S;N;N
122515;CERTIFICADOS DE AHORROS DE VALOR CONST  ;D;1225;S;3;S;N;N
1245;DERECHOS FIDUCIARIOS                    ;D;12;S;2;N;N;N
124505;DERECHOS FIIDUCIARIOS DE INVERSION DAVIV;D;1245;S;3;N;S;N
1295;OTRAS INVERSIONES                       ;D;12;S;0;S;N;N
129501;OTROS                                   ;D;1295;S;3;S;S;N
129505;APORTES EN COOPERATIVAS                 ;D;1295;S;0;S;S;N
1299;PROVISIONES                             ;C;12;S;2;S;N;N
13;DEUDORES                                ;D;1;S;1;S;N;N
1305;CLIENTES                                ;D;13;S;2;S;N;N
130505;NACIONALES                              ;D;1305;S;3;S;S;N
130510;CXC CLIENTES ALIANZA SISTECREDITO       ;D;1305;S;0;S;S;N
1325;CUENTAS POR COBRAR A SOCIOS Y ACCIONISTA;D;13;S;2;S;N;N
132505;A SOCIOS                                ;D;1325;S;3;S;N;N
13250501;PRESTAMO A SOCIOS                       ;D;132505;S;4;S;S;S
1330;ANTICIPOS Y AVANCES                     ;D;13;S;2;S;N;N
133005;A PROVEEDORES                           ;D;1330;S;3;S;S;N
133010;A CONTRATISTAS                          ;D;1330;S;3;S;N;N
13301001;PARA DISE�O DE PAGINAS                  ;D;133010;S;4;S;S;N
13301002;ARREGLOS LOCATIVOS                      ;D;133010;S;4;S;S;N
13301009;OTROS                                   ;D;133010;S;4;S;S;N
133015;ANTICIPO EMPLEADOS                      ;D;1330;S;3;S;S;N
133020;ANTICIPO DE VACACIONES                  ;D;1330;S;3;S;S;S
133025;A CONCESIONARIOS                        ;D;1330;S;3;S;N;N
1335;DEPOSITOS                               ;D;13;S;2;S;N;N
133510;PARA SERVICIOS                          ;D;1335;S;3;S;N;N
1340;PROMESAS DE COMPRA VENTA                ;D;13;S;0;S;N;N
134005;DE BIENES RAICES                        ;D;1340;S;0;S;S;N
1345;INGRESOS POR COBRAR                     ;D;13;S;2;S;N;N
134510;INTERESES                               ;D;1345;S;3;S;N;N
134520;HONORARIOS                              ;D;1345;S;3;S;N;N
1355;ANTICIPO DE IMPTOS Y CONTRIBUCIONES     ;D;13;S;2;S;N;N
135505;ANTICIPO DE RENTA                       ;D;1355;S;0;S;S;N
135510;ANTICIPO DE IMPTO DE INDUSTRIA Y CIO    ;D;1355;S;3;N;N;N
13551001;ANTICIPO DE IMPTO DE INDUSTRIA Y CIO    ;D;135510;S;4;S;S;N
13551002;ANTICIPO DE IMPTO DE INDUSTRIA Y CIO TAR;D;135510;S;4;S;S;N
135515;ANTICIPO DE RTE FTE                     ;D;1355;S;3;S;N;N
13551501;ANTCIPO RETE FTE 2.5%                   ;D;135515;S;4;S;S;N
13551502;ANTICIPO RETE FTE TARJETAS              ;D;135515;S;4;S;S;N
13551503;ANTICIPO DE RTE FTE 1%                  ;D;135515;S;4;S;S;N
13551504;HONORARIOS 11%                          ;D;135515;S;4;S;S;N
135517;IVA RETENIDO 15%                        ;D;1355;S;0;N;N;N
13551701;IVA RETENIDO 15%                        ;D;135517;S;4;S;S;N
13551702;IVA RETENIDO 15% TARJETAS               ;D;135517;S;4;S;S;N
135518;IMPUESTO DE INDUSTRIA Y COMERCIO RETENID;D;1355;S;0;N;N;N
13551801;ANT. IND Y COMERCIO NORMA ANTERIOR      ;D;135518;S;4;S;S;N
13551802;ANT. IND Y CIO X TARJETAS CREDITO       ;D;135518;S;4;S;S;N
13551803;AUTORETENCION ICA                       ;D;135518;S;4;S;S;N
13551804;ANTICIPO DE IMPTO IND Y CIO BGA         ;D;135518;S;4;N;N;N
1355180401;ANTICIPO IND Y CIO BGA (4.8 X 1000)     ;D;13551804;S;5;S;S;N
1355180402;ANTICIPO IND Y CIO X AVISOS Y TABLEROS  ;D;13551804;S;5;S;S;N
1355180403;ANTICIPO IND Y CIO X SOBRETASA B. (10%) ;D;13551804;S;5;S;S;N
13551805;AUTORRETENCION DE ICA MUN. BGA          ;D;135518;S;4;N;N;N
1355180501;AUTORRETENCION ICA TARIFA 4.8X1000      ;D;13551805;S;5;S;S;N
1355180502;AUTORRETENCION AVISOS Y TABLEROS (15%)  ;D;13551805;S;5;S;S;N
1355180503;AUTORRETENCION SOBRETASA B. (10%)       ;D;13551805;S;5;S;S;N
135530;Impuestos Descontables                  ;D;1355;S;3;S;S;N
135535;Otros                                   ;D;1355;S;3;S;S;N
135575;AUTORRETENCION CREE                     ;D;1355;S;3;N;N;N
13557501;AUTORETENCION CREE 0.4% POR VENTAS      ;D;135575;S;4;S;S;N
135595;OTROS                                   ;D;1355;S;0;S;S;N
1360;RECLAMACIONES                           ;D;13;S;2;S;N;N
136095;OTRAS                                   ;D;1360;S;3;S;N;N
13609501;INCAPACIDADES                           ;D;136095;S;4;S;S;S
1365;CUENTAS POR COBRAR A TRABAJADORES       ;D;13;S;2;S;N;N
136595;OTROS                                   ;D;1365;S;3;S;S;N
1370;PRESTAMOS A PARTICULARES                ;D;13;S;2;S;N;N
137001;PRESTAMO A TERCEROS                     ;D;1370;S;3;S;S;S
1380;DEUDORES VARIOS                         ;D;13;S;2;S;N;N
138095;OTROS                                   ;D;1380;S;3;S;N;N
13809501;PARTICULARES                            ;D;138095;S;4;S;S;N
13809502;TARJETAS DATAFONO                       ;D;138095;S;4;S;S;N
138096;LICENCIA DE MATERNIDAD                  ;D;1380;S;0;S;S;N
1390;DEUDAS DE DIFICIL COBRO                 ;D;13;S;2;S;N;N
1399;PROVISIONES                             ;C;13;S;2;S;N;N
14;INVENTARIOS                             ;D;1;S;1;S;N;N
1430;Productos Terminados                    ;D;14;S;2;S;N;N
143099;Ajuste por Inflacion                    ;D;1430;S;3;S;S;N
1435;MERCANCIAS NO FABRICADAS POR LA EMPRESA ;D;14;S;0;S;N;N
143542;MERCANCIAS NO FABRICADAS POR LA EMPRESA ;D;1435;S;0;S;N;N
14354201;MERCANCIAS NO FABRICADAS POR LA EMPRESA ;D;143542;S;0;S;N;N
1435420101;COMPRAS GRAVADAS                        ;D;14354201;S;0;S;S;N
1435420102;COMPRAS NO GRAVADAS                     ;D;14354201;S;0;S;S;N
1435420103;COMPRAS GRAVADAS DEL 5%                 ;D;14354201;S;5;S;S;N
14354202;COSTO DE VENTAS                         ;D;143542;S;0;S;N;N
1435420201;COSTO DE VENTAS GRAVADO                 ;D;14354202;S;0;S;S;N
1435420202;COSTO DE VENTAS NO GRAVADO              ;D;14354202;S;0;S;S;N
1440;Bienes Raices                           ;D;14;S;2;S;N;N
144099;Ajuste por inflacion                    ;D;1440;S;3;S;N;N
1450;Terrenos                                ;D;14;S;2;S;N;N
1455;Materiales Repuestos y ascesorios       ;D;14;S;2;S;N;N
145505;Lubricantes                             ;D;1455;S;3;S;N;N
145599;Ajuste Por Inflacion                    ;D;1455;S;3;S;N;N
15;PROPIEDADES PLANTA Y EQUIPO             ;D;1;S;1;S;N;N
1504;TERRENOS                                ;D;15;S;0;S;N;N
150401;LOTE 1.100 MTS MESA DE LOS SANTOS       ;D;1504;S;0;S;S;N
1516;CONSTRUCCIONES Y EDIFICACIONES          ;D;15;S;2;S;N;N
151605;EDIFICIOS                               ;D;1516;S;3;S;N;N
15160501;50% CASA CRA 14W NO. 60-36 CASA D-08    ;D;151605;S;0;S;S;N
1520;MAQUINARIA Y EQUIPO                     ;D;15;S;2;S;N;N
152010;MAQUINARIA Y QUIPO                      ;D;1520;S;3;S;N;N
15201001;COSTO                                   ;D;152010;S;0;S;S;N
15201002;IVAS MAYOR VALOR COSTO                  ;D;152010;S;0;S;S;N
152099;AJUSTES POR INFLACION                   ;D;1520;S;3;S;S;N
1524;EQUIPO DE OFICINA                       ;D;15;S;2;S;N;N
152405;MUEBLES Y ENSERES                       ;D;1524;S;3;S;N;N
15240501;COSTO                                   ;D;152405;S;0;S;S;N
15240502;IVAS MAYOR VALOR COSTO                  ;D;152405;S;0;S;S;N
152410;EQUIPOS                                 ;D;1524;S;0;S;N;N
15241001;COSTO                                   ;D;152410;S;0;S;S;N
15241002;IVAS MAYOR VALOR COSTO                  ;D;152410;S;0;S;S;N
152415;Otros                                   ;D;1524;S;3;S;S;N
152495;OTROS                                   ;D;1524;S;0;S;N;N
15249501;COSTO                                   ;D;152495;S;0;S;S;N
15249502;IVAS MAYOR VALOR COSTO                  ;D;152495;S;0;S;S;N
152499;AJUSTES POR INFLACION                   ;D;1524;S;3;S;N;N
1528;EQUIPO DE COMPUTO Y COMUNICACION        ;D;15;S;2;S;N;N
152805;EQUIPO DE PROCESAMIENTO DE DATOS        ;D;1528;S;3;S;N;N
15280501;COSTO                                   ;D;152805;S;4;S;S;N
15280502;IVAS MAYOR VALOR COSTO                  ;D;152805;S;0;S;S;N
152810;EQUIPO DE TELECOMUNICACIONES            ;D;1528;S;3;S;N;N
15281001;COSTO                                   ;D;152810;S;0;S;S;N
15281002;IVAS MAYOR VALOR COSTO                  ;D;152810;S;0;S;S;N
152825;LINEAS TELEFONICAS                      ;D;1528;S;3;S;S;N
152895;OTROS                                   ;D;1528;S;0;S;N;N
15289501;COSTO                                   ;D;152895;S;0;S;S;N
15289502;IVAS MAYOR VALOR COSTO                  ;D;152895;S;0;S;S;N
1532;EQUIPO MEDICO CIENTIFICO                ;D;15;S;2;S;N;N
153215;LABORATORIO                             ;D;1532;S;3;S;S;N
153299;AJUSTES POR INFLACION                   ;D;1532;S;3;S;S;N
1540;FLOTA Y EQUIPO DE TRANSPORTE            ;D;15;S;2;S;N;N
154005;AUTOS  CAMIONETAS Y CAMPEROS            ;D;1540;S;0;S;N;N
15400501;COSTO                                   ;D;154005;S;0;S;S;N
15400502;IVAS MAYOR VALOR COSTO                  ;D;154005;S;0;S;S;N
154099;AJUSTES POR INFLACION                   ;D;1540;S;3;S;S;N
1592;DEPRECIACION ACUMULADA                  ;C;15;S;2;S;N;N
159205;CONSTRUCCIONES Y EDIFICACIONES          ;C;1592;S;3;S;S;N
159210;MAQUINARIA Y EQUIPO                     ;C;1592;S;3;S;N;N
159215;EQUIPO DE OFICINA                       ;C;1592;S;3;S;S;N
159216;CONSTRUCCIONES Y EDIFICACIONES          ;C;1592;S;0;S;S;N
