Cuenta;Nombre;Naturaleza;Tercero;Auxiliar;C. Costo
;;;;;
1;ACTIVO                                  ;D;S;N;N
11;DISPONIBLE                              ;D;S;N;N
1105;CAJA                                    ;D;S;N;N
110505;CAJA GENERAL                            ;D;S;S;N
110510;CAJAS MENOR                             ;D;S;S;N
1110;BANCOS                                  ;D;S;N;N
111005;MONEDA NACIONAL                         ;D;S;N;N
1120;CUENTAS DE AHORROS                      ;D;S;N;N
112005;BANCOS                                  ;D;S;N;N
112010;CORPORACIONES DE AHORRO Y VIVIENDA      ;D;S;N;N
112015;ORGANISMOS COOPERATIVOS FINANCIEROS     ;D;S;N;N
1125;FONDOS                                  ;D;S;N;N
112505;ROTATORIOS MONEDA NACIONAL              ;D;S;N;N
112510;ROTATORIOS MONEDA EXTRANJERA            ;D;S;N;N
112515;ESPECIALES MONEDA NACIONAL              ;D;S;N;N
112520;ESPECIALES MONEDA EXTRANJERA            ;D;S;N;N
12;INVERSIONES                             ;D;S;N;N
1205;ACCIONES                                ;D;S;N;N
1220;CEDULAS                                 ;D;S;N;N
1225;CERTIFICADOS                            ;D;S;N;N
122505;CERTIFICADOS DE DEPOSITO A TERMINO (CDT);D;S;N;N
122510;CERTIFICADOS DE DEPOSITO DE AHORRO      ;D;N;N;N
122515;CERTIFICADOS DE AHORROS DE VALOR CONSTAN;D;S;N;N
1245;DERECHOS FIDUCIARIOS                    ;D;N;N;N
124505;FIDEICOMISOS DE INVERSION MONEDA NACIONA;D;N;S;N
1295;OTRAS INVERSIONES                       ;D;S;N;N
129501;OTROS                                   ;D;S;S;N
129505;APORTES EN COOPERATIVAS                 ;D;S;S;N
1299;PROVISIONES                             ;C;S;N;N
13;DEUDORES                                ;D;S;N;N
1305;CLIENTES                                ;D;S;N;N
130505;NACIONALES                              ;D;S;S;N
1325;CUENTAS POR COBRAR A SOCIOS Y ACCIONISTA;D;S;N;N
132505;A SOCIOS                                ;D;S;N;N
13250501;PRESTAMO A SOCIOS                       ;D;S;S;S
132510;A ACCIONISTAS                           ;D;S;N;N
1330;ANTICIPOS Y AVANCES                     ;D;S;N;N
133005;A PROVEEDORES                           ;D;S;N;N
133010;A CONTRATISTAS                          ;D;S;N;N
133015;ANTICIPO EMPLEADOS                      ;D;S;N;N
133020;A AGENTES                               ;D;S;N;S
133025;A CONCESIONARIOS                        ;D;S;N;N
1335;DEPOSITOS                               ;D;S;N;N
133505;PARA IMPORTACIONES                      ;D;S;N;N
133510;PARA SERVICIOS                          ;D;S;N;N
133515;PARA CONTRATOS                          ;D;S;N;N
133520;PARA RESPONSABILIDADES                  ;D;S;N;N
1340;PROMESAS DE COMPRA VENTA                ;D;S;N;N
134005;DE BIENES RAICES                        ;D;S;S;N
1345;INGRESOS POR COBRAR                     ;D;S;N;N
134505;DIVIDENDOS Y/O PARTICIPACIONES          ;D;S;N;N
134510;INTERESES                               ;D;S;N;N
134515;COMISIONES                              ;D;S;N;N
134520;HONORARIOS                              ;D;S;N;N
1355;ANTICIPO DE IMPTOS Y CONTRIBUCIONES O SA;D;S;N;N
135505;ANTICIPO DE RENTA Y COMPLEMENTARIOS     ;D;S;N;N
135510;ANTICIPO DE IMPTO DE INDUSTRIA Y COMERCI;D;N;N;N
135515;ANTICIPO DE RETENCION EN LA FUENTE      ;D;S;N;N
13551501;ANTCIPO RETE FTE 2.5%                   ;D;S;S;N
13551502;ANTICIPO RETE FTE TARJETAS              ;D;S;S;N
13551503;ANTICIPO DE RTE FTE 1%                  ;D;S;S;N
13551504;HONORARIOS 11%                          ;D;S;S;N
135517;IMPUSTO A LAS VENTAS RETENIDO - IVA RETE;D;N;N;N
13551701;IVA RETENIDO 15%                        ;D;S;S;N
13551702;IVA RETENIDO 15% TARJETAS               ;D;S;S;N
135518;IMPUESTO DE INDUSTRIA Y COMERCIO RETENID;D;N;N;N
13551801;ANT. IND Y COMERCIO NORMA ANTERIOR      ;D;S;S;N
13551802;ANT. IND Y CIO X TARJETAS CREDITO       ;D;S;S;N
13551803;AUTORETENCION ICA                       ;D;S;S;N
13551804;ANTICIPO DE IMPTO IND Y CIO             ;D;N;N;N
13551805;AUTORRETENCION DE ICA                   ;D;N;N;N
135530;Impuestos Descontables                  ;D;S;S;N
135535;Otros                                   ;D;S;S;N
135575;AUTORRETENCION CREE                     ;D;N;N;N
13557501;AUTORETENCION CREE 0.4% POR VENTAS      ;D;S;S;N
135595;OTROS                                   ;D;S;S;N
1360;RECLAMACIONES                           ;D;S;N;N
136095;OTRAS                                   ;D;S;N;N
13609501;INCAPACIDADES                           ;D;S;S;S
1365;CUENTAS POR COBRAR A TRABAJADORES       ;D;S;N;N
136595;OTROS                                   ;D;S;S;N
1370;PRESTAMOS A PARTICULARES                ;D;S;N;N
137001;PRESTAMO A TERCEROS                     ;D;S;S;S
1380;DEUDORES VARIOS                         ;D;S;N;N
138095;OTROS                                   ;D;S;N;N
13809501;PARTICULARES                            ;D;S;S;N
13809502;TARJETAS DATAFONO                       ;D;S;S;N
138096;LICENCIA DE MATERNIDAD                  ;D;S;S;N
1390;DEUDAS DE DIFICIL COBRO                 ;D;S;N;N
1399;PROVISIONES                             ;C;S;N;N
14;INVENTARIOS                             ;D;S;N;N
1430;PRODUCTOS TERMINADOS                    ;D;S;N;N
143099;Ajuste por Inflacion                    ;D;S;S;N
1435;MERCANCIAS NO FABRICADAS POR LA EMPRESA ;D;S;N;N
143542;MERCANCIAS NO FABRICADAS POR LA EMPRESA ;D;S;N;N
14354201;MERCANCIAS NO FABRICADAS POR LA EMPRESA ;D;S;N;N
1435420101;COMPRAS NO GRAVADAS                     ;D;S;S;N
1435420102;COMPRAS GRAVADAS DEL 5%                 ;D;S;S;N
1435420103;COMPRAS GRAVADAS DEL 19%                ;D;S;S;N
14354202;COSTO DE VENTAS                         ;D;S;N;N
1435420201;COSTO DE VENTAS NO GRAVADO              ;D;S;S;N
1435420202;COSTO DE VENTAS GRAVADO                 ;D;S;S;N
1440;Bienes Raices                           ;D;S;N;N
144099;Ajuste por inflacion                    ;D;S;N;N
1450;Terrenos                                ;D;S;N;N
1455;Materiales Repuestos y ascesorios       ;D;S;N;N
145505;Lubricantes                             ;D;S;N;N
145599;Ajuste Por Inflacion                    ;D;S;N;N
15;PROPIEDADES PLANTA Y EQUIPO             ;D;S;N;N
1504;TERRENOS                                ;D;S;N;N
1516;CONSTRUCCIONES Y EDIFICACIONES          ;D;S;N;N
151605;EDIFICIOS                               ;D;S;N;N
151610;OFICINAS                                ;D;S;N;N
1520;MAQUINARIA Y EQUIPO                     ;D;S;N;N
152010;MAQUINARIA Y QUIPO                      ;D;S;N;N
1524;EQUIPO DE OFICINA                       ;D;S;N;N
152405;MUEBLES Y ENSERES                       ;D;S;N;N
15240501;COSTO                                   ;D;S;S;N
15240502;IVAS MAYOR VALOR COSTO                  ;D;S;S;N
152410;EQUIPOS                                 ;D;S;N;N
15241001;COSTO                                   ;D;S;S;N
15241002;IVAS MAYOR VALOR COSTO                  ;D;S;S;N
152415;Otros                                   ;D;S;S;N
152495;OTROS                                   ;D;S;N;N
15249501;COSTO                                   ;D;S;S;N
15249502;IVAS MAYOR VALOR COSTO                  ;D;S;S;N
152499;AJUSTES POR INFLACION                   ;D;S;N;N
1528;EQUIPO DE COMPUTO Y COMUNICACION        ;D;S;N;N
152805;EQUIPO DE PROCESAMIENTO DE DATOS        ;D;S;N;N
15280501;COSTO                                   ;D;S;S;N
15280502;IVAS MAYOR VALOR COSTO                  ;D;S;S;N
152810;EQUIPO DE TELECOMUNICACIONES            ;D;S;N;N
15281001;COSTO                                   ;D;S;S;N
15281002;IVAS MAYOR VALOR COSTO                  ;D;S;S;N
152825;LINEAS TELEFONICAS                      ;D;S;S;N
152895;OTROS                                   ;D;S;N;N
15289501;COSTO                                   ;D;S;S;N
15289502;IVAS MAYOR VALOR COSTO                  ;D;S;S;N
1532;EQUIPO MEDICO CIENTIFICO                ;D;S;N;N
153215;LABORATORIO                             ;D;S;S;N
153299;AJUSTES POR INFLACION                   ;D;S;S;N
1540;FLOTA Y EQUIPO DE TRANSPORTE            ;D;S;N;N
154005;AUTOS  CAMIONETAS Y CAMPEROS            ;D;S;N;N
15400501;COSTO                                   ;D;S;S;N
15400502;IVAS MAYOR VALOR COSTO                  ;D;S;S;N
154099;AJUSTES POR INFLACION                   ;D;S;S;N
1592;DEPRECIACION ACUMULADA                  ;C;S;N;N
159205;CONSTRUCCIONES Y EDIFICACIONES          ;C;S;S;N
159210;MAQUINARIA Y EQUIPO                     ;C;S;N;N
159215;EQUIPO DE OFICINA                       ;C;S;S;N
159216;CONSTRUCCIONES Y EDIFICACIONES          ;C;S;S;N
159220;MAQUINARIA Y EQUIPO                     ;C;S;S;N
159224;EQUIPO DE OFICINA                       ;C;S;S;N
159225;EQUIPO MEDICO-CIENTIFICO                ;C;S;S;N
159228;EQUIPO DE COMPUTO Y TELECOMUNICACIONES  ;C;S;S;N
159235;FLOTA Y EQUIPO DE TRANSPORTE            ;C;S;S;N
159240;FLOTA Y EQUIPO DE TRANSPORTE            ;C;S;S;N
159299;AJUSTES POR INFLACION                   ;C;S;S;N
16;INTANGIBLES                             ;D;S;N;N
1635;LICENCIAS                               ;D;S;N;N
163501;SOFTLAND                                ;D;S;S;N
17;DIFERIDOS                               ;D;S;N;N
1705;GASTOS PAGADOS POR ANTICIPADO           ;D;S;N;N
170501;ANTICIPOS DE COMPRA                     ;D;S;S;N
170505;INTERESES                               ;D;S;S;N
170520;SEGUROS Y FIANZAS                       ;D;S;S;N
170595;OTROS                                   ;D;S;S;N
1710;CARGOS DIFERIDOS                        ;D;S;N;N
171016;PROGRAMAS PARA COMPUTADORES(SOFTWARE)   ;D;S;S;N
171020;UTILES Y PAPELERIA                      ;D;S;S;N
171048;ELEMENTOS DE ASEO Y CAFETERIA           ;D;S;S;N
171095;OTROS                                   ;D;S;S;N
171099;AJUSTES POR INFLACION                   ;D;S;S;N
18;OTROS ACTIVOS                           ;D;S;N;N
1895;DIVERSOS                                ;D;S;N;N
189560;ELEMENTOS DE ROPERIA Y LENCERIA         ;D;S;S;N
189595;OTROS                                   ;D;S;S;N
189599;AJUSTES POR INFLACION                   ;D;S;S;N
19;VALORIZACIONES                          ;D;S;N;N
1910;DE PROPIEDADES                          ;D;S;N;N
191008;CONSTRUCCIONES Y EDIFICACIONES          ;D;S;S;N
2;PASIVO                                  ;C;S;N;N
21;OBLIGACIONES FINANCIERAS                ;C;S;N;N
2105;BANCOS NACIONALES                       ;C;S;N;N
